Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,14.4819,NA,6.97850000000000,8.32930000000000,0.14910000000000,0.22610000000000,12.3659,NA,7.7910,6.8400,6.6909,0.1491,6.3674,0.5496,0.5325,0.0171,0.0000,7.7910,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,20.5818,NA,6.09990000000000,4.17460000000000,0.11670000000000,0.49410000000000,10.4406,NA,14.6310,6.0675,5.9508,0.1167,5.7941,0.6508,0.6343,0.0165,2.6654,14.6310,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,27.6866,NA,7.10480000000000,7.90510000000000,0.09720000000000,0.62840000000000,11.2409,NA,20.6985,7.0853,6.9881,0.0972,6.6402,0.9763,0.9563,0.0200,-1.8376,20.6985,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,33.9528,NA,6.26620000000000,NA,0.17990000000000,0.29890000000000,NA,NA,27.7838,6.3489,6.1690,0.1799,5.9099,0.5580,0.5414,0.0166,NA,NA,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,41.0285,NA,7.07570000000000,NA,0.18100000000000,0.25820000000000,NA,NA,34.1327,7.0768,6.8958,0.1810,6.5953,0.5587,0.5360,0.0227,NA,NA,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,47.1758,NA,6.14730000000000,16.62280000000000,0.10040000000000,0.39800000000000,8.3745,NA,41.2095,6.0667,5.9663,0.1004,5.8022,0.5621,0.5463,0.0158,3.8882,41.2095,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,54.2913,NA,7.11550000000000,NA,0.19130000000000,0.28150000000000,NA,NA,47.2762,7.2064,7.0151,0.1913,6.7362,0.5604,0.5402,0.0202,NA,NA,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,60.9088,NA,6.61750000000000,16.69010000000000,0.22160000000000,0.35080000000000,11.3316,NA,54.4826,6.6478,6.4262,0.2216,6.1252,0.6518,0.6369,0.0149,-3.4170,54.4826,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,67.5835,NA,6.67470000000000,NA,0.09550000000000,0.27480000000000,NA,NA,61.1304,6.5486,6.4531,0.0955,6.1715,0.5564,0.5385,0.0179,NA,NA,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,74.1914,NA,6.60790000000000,NA,0.15970000000000,0.29750000000000,NA,NA,67.6790,6.6721,6.5124,0.1597,6.2561,0.5538,0.5341,0.0197,NA,NA,NA,NA
