Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,7.6747,NA,7.32110000000000,5.78510000000000,0.23260000000000,0.23050000000000,6.6743,NA,0.4848,7.4225,7.1899,0.2326,6.7932,0.6272,0.5983,0.0289,-5.1593,0.4848,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,13.7083,NA,6.03360000000000,8.32950000000000,0.15710000000000,0.42750000000000,8.9702,NA,7.9073,5.9581,5.8010,0.1571,5.6255,0.6030,0.5855,0.0175,-0.9070,7.9073,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,20.4091,NA,6.70080000000000,8.33050000000000,0.12240000000000,0.68680000000000,10.5999,NA,13.8654,6.6661,6.5437,0.1224,6.3774,0.8531,0.8366,0.0165,-2.3724,13.8654,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,27.0485,NA,6.63940000000000,8.32560000000000,0.10130000000000,0.39540000000000,12.2861,NA,20.5315,6.6183,6.5170,0.1013,6.2764,0.6360,0.6133,0.0227,-1.6595,20.5315,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,33.6860,NA,6.63750000000000,2.60480000000000,0.10700000000000,0.47400000000000,8.2534,NA,27.1498,6.6432,6.5362,0.1070,6.3618,0.6484,0.6269,0.0215,4.0135,27.1498,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,40.2753,NA,6.58930000000000,5.73360000000000,0.08430000000000,0.60080000000000,7.3977,NA,33.7930,6.5666,6.4823,0.0843,6.3269,0.7562,0.7416,0.0146,0.9096,33.7930,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,47.3422,NA,7.06690000000000,10.96030000000000,0.11550000000000,0.46590000000000,11.2911,NA,40.3596,7.0981,6.9826,0.1155,6.7218,0.7267,0.7067,0.0200,-4.3937,40.3596,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,54.1099,NA,6.76770000000000,5.72800000000000,0.11730000000000,0.32360000000000,10.2514,NA,47.4577,6.7695,6.6522,0.1173,6.3372,0.6386,0.6134,0.0252,1.3701,47.4577,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,60.4507,NA,6.34080000000000,4.14150000000000,0.09760000000000,0.39060000000000,8.0521,NA,54.2272,6.3211,6.2235,0.0976,6.0106,0.6035,0.5832,0.0203,2.6280,54.2272,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,67.0791,NA,6.62840000000000,6.80630000000000,0.10800000000000,0.43740000000000,8.2300,NA,60.5483,6.6388,6.5308,0.1080,6.3435,0.6247,0.6005,0.0242,-0.4852,60.5483,NA,NA
